PROV58;London-upon-Lawrence;;;;;;;;;;;;;;
PROV163;Shikawa;;;;;;;;;;;;;;
PROV178;Ruislip;;;;;;;;;;;;;;
PROV214;Nuova Bologna;;;;;;;;;;;;;;
PROV139;La Nouvelle-Orléans;;;;;;;;;;;;;;
PROV2172;Ville de Méchique;;;;;;;;;;;;;;
PROV2166;Val' de Pedra;;;;;;;;;;;;;;
PROV84;Saint-François;;;;;;;;;;;;;;
PROV89;Os Anjos;;;;;;;;;;;;;;
PROV13;Bésançon;;;;;;;;;;;;;;
PROV2256;Santiago do Cáli;;;;;;;;;;;;;;
PROV2348;Bon Ares;;;;;;;;;;;;;;
PROV2447;Rio de Enero;;;;;;;;;;;;;;
PROV2410;Betlemma;;;;;;;;;;;;;;
PROV2243;Dolce Fiume;;;;;;;;;;;;;;
PROV2214;Saint-Domingue;;;;;;;;;;;;;;
PROV2216;Plaines-Royales;;;;;;;;;;;;;;
PROV2222;Port Riche;;;;;;;;;;;;;;
PROV2217;Jamaïque;;;;;;;;;;;;;;
PROV2232;Dominique;;;;;;;;;;;;;;
PROV2229;La Barbade;;;;;;;;;;;;;;
PROV2235;L'Arube;;;;;;;;;;;;;;
PROV2212;Santiague;;;;;;;;;;;;;;
PROV2210;Cent-Feux;;;;;;;;;;;;;;
PROV2211;Saint-Marie;;;;;;;;;;;;;;
PROV2209;La Havane;;;;;;;;;;;;;;
PROV2220;Cayaïque;;;;;;;;;;;;;;
PROV2223;Sint-Thomas;;;;;;;;;;;;;;
PROV2226;Ter Tholen;;;;;;;;;;;;;;
PROV2235;Sint-Maarten;;;;;;;;;;;;;;
PROV2227;Sint-Christoffel;;;;;;;;;;;;;;
PROV2225;Gekartelde Berg;;;;;;;;;;;;;;
PROV2224;Oude;;;;;;;;;;;;;;
PROV2237;Drieëenheid;;;;;;;;;;;;;;
PROV2238;Mooievorm;;;;;;;;;;;;;;
PROV2228;Martinik;;;;;;;;;;;;;;
PROV2231;Sint-Lucia;;;;;;;;;;;;;;
PROV2409;Sint-Vincent;;;;;;;;;;;;;;
PROV2233;Nieuw Edam;;;;;;;;;;;;;;
PROV2276;Nieuw Amsterdam;;;;;;;;;;;;;;
PROV200;Nueva Argel;;;;;;;;;;;;;;
PROV199;Nueva Bona;;;;;;;;;;;;;;
PROV198;Nueva Tremecén;;;;;;;;;;;;;;
SPA_2209;Jeanne;;;;;;;;;;;;;;
HAI_2213;Francette;;;;;;;;;;;;;;
VNZ_2278;Nieuw Amsterdam;;;;;;;;;;;;;;
BRZ_2410;Belén;;;;;;;;;;;;;;
USA_200;Nueva Argel;;;;;;;;;;;;;;
PROV1498;Jingao;;;;;;;;;;;;;;
PROV1566;Jiao'ao;;;;;;;;;;;;;;
PROV1481;Lushun Gang;;;;;;;;;;;;;;
PROV1312;Putucceri;;;;;;;;;;;;;;
PROV1384;Singapura;;;;;;;;;;;;;;
PROV2088;Springbuck;;;;;;;;;;;;;;
PROV2096;Porto Isabel;;;;;;;;;;;;;;
PROV2097;Cornelia;;;;;;;;;;;;;;
PROV2101;Azulfuente;;;;;;;;;;;;;;
PROV2102;Victoriosa;;;;;;;;;;;;;;
PROV2103;Filipópolis;;;;;;;;;;;;;;
PROV2105;Río Monita;;;;;;;;;;;;;;
PROV2106;Arrecife;;;;;;;;;;;;;;
PROV2107;Colina Elanda;;;;;;;;;;;;;;
PROV2109;Césped-Verde;;;;;;;;;;;;;;
PROV2558;La Arteria;;;;;;;;;;;;;;
PROV2111;Río de Navidad;;;;;;;;;;;;;;
PROV2112;Dolores de León;;;;;;;;;;;;;;
PROV2091;Mejillona;;;;;;;;;;;;;;
PROV2090;El Cuerno;;;;;;;;;;;;;;
PROV2089;Monte-Marinera;;;;;;;;;;;;;;
PROV2087;Ciudad del Cabo;;;;;;;;;;;;;;
PROV2049;Lorenzo Márquez;;;;;;;;;;;;;;
PROV2086;Carst Spring;;;;;;;;;;;;;;
PROV2078;Windhook;;;;;;;;;;;;;;
